"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.35500000000E+007, +2.42710078615E+001, +0.00000000000E+000
+1.36625000000E+007, +2.42707562696E+001, +0.00000000000E+000
+1.37750000000E+007, +2.42671685744E+001, +0.00000000000E+000
+1.38875000000E+007, +2.42648458286E+001, +0.00000000000E+000
+1.40000000000E+007, +2.42668047258E+001, +0.00000000000E+000
+1.41125000000E+007, +2.42689994371E+001, +0.00000000000E+000
+1.42250000000E+007, +2.42675702582E+001, +0.00000000000E+000
+1.43375000000E+007, +2.42637204797E+001, +0.00000000000E+000
+1.44500000000E+007, +2.42596103412E+001, +0.00000000000E+000
+1.45625000000E+007, +2.42586544844E+001, +0.00000000000E+000
+1.46750000000E+007, +2.42593572948E+001, +0.00000000000E+000
+1.47875000000E+007, +2.42624397574E+001, +0.00000000000E+000
+1.49000000000E+007, +2.42674069350E+001, +0.00000000000E+000
+1.50125000000E+007, +2.42706033186E+001, +0.00000000000E+000
+1.51250000000E+007, +2.42695609458E+001, +0.00000000000E+000
+1.52375000000E+007, +2.42668804623E+001, +0.00000000000E+000
+1.53500000000E+007, +2.42605791245E+001, +0.00000000000E+000
+1.54625000000E+007, +2.42537578866E+001, +0.00000000000E+000
+1.55750000000E+007, +2.42435237580E+001, +0.00000000000E+000
+1.56875000000E+007, +2.42343295691E+001, +0.00000000000E+000
+1.58000000000E+007, +2.42275723999E+001, +0.00000000000E+000
+1.59125000000E+007, +2.42247591698E+001, +0.00000000000E+000
+1.60250000000E+007, +2.42279317647E+001, +0.00000000000E+000
+1.61375000000E+007, +2.42314627194E+001, +0.00000000000E+000
+1.62500000000E+007, +2.42281386356E+001, +0.00000000000E+000
+1.63625000000E+007, +2.42281637490E+001, +0.00000000000E+000
+1.64750000000E+007, +2.42283309220E+001, +0.00000000000E+000
+1.65875000000E+007, +2.42294837834E+001, +0.00000000000E+000
+1.67000000000E+007, +2.42310581899E+001, +0.00000000000E+000
+1.68125000000E+007, +2.42336150542E+001, +0.00000000000E+000
+1.69250000000E+007, +2.42367274995E+001, +0.00000000000E+000
+1.70375000000E+007, +2.42466967675E+001, +0.00000000000E+000
+1.71500000000E+007, +2.42542144399E+001, +0.00000000000E+000
+1.72625000000E+007, +2.42562485126E+001, +0.00000000000E+000
+1.73750000000E+007, +2.42540640640E+001, +0.00000000000E+000
+1.74875000000E+007, +2.42525580942E+001, +0.00000000000E+000
+1.76000000000E+007, +2.42452226934E+001, +0.00000000000E+000
+1.77125000000E+007, +2.42367756148E+001, +0.00000000000E+000
+1.78250000000E+007, +2.42279762787E+001, +0.00000000000E+000
+1.79375000000E+007, +2.42145626181E+001, +0.00000000000E+000
+1.80500000000E+007, +2.42046575205E+001, +0.00000000000E+000
+1.81625000000E+007, +2.41967871732E+001, +0.00000000000E+000
+1.82750000000E+007, +2.41888693615E+001, +0.00000000000E+000
+1.83875000000E+007, +2.41818056925E+001, +0.00000000000E+000
+1.85000000000E+007, +2.41749257037E+001, +0.00000000000E+000
+1.86125000000E+007, +2.41675001490E+001, +0.00000000000E+000
+1.87250000000E+007, +2.41633509290E+001, +0.00000000000E+000
+1.88375000000E+007, +2.41628667428E+001, +0.00000000000E+000
+1.89500000000E+007, +2.41646159371E+001, +0.00000000000E+000
+1.90625000000E+007, +2.41644925295E+001, +0.00000000000E+000
+1.91750000000E+007, +2.41636370876E+001, +0.00000000000E+000
+1.92875000000E+007, +2.41637965830E+001, +0.00000000000E+000
+1.94000000000E+007, +2.41647021911E+001, +0.00000000000E+000
+1.95125000000E+007, +2.41686782780E+001, +0.00000000000E+000
+1.96250000000E+007, +2.41664972888E+001, +0.00000000000E+000
+1.97375000000E+007, +2.41623714897E+001, +0.00000000000E+000
+1.98500000000E+007, +2.41571875630E+001, +0.00000000000E+000
+1.99625000000E+007, +2.41547327583E+001, +0.00000000000E+000
+2.00750000000E+007, +2.41534459122E+001, +0.00000000000E+000
+2.01875000000E+007, +2.41511627019E+001, +0.00000000000E+000
+2.03000000000E+007, +2.41484002715E+001, +0.00000000000E+000
+2.04125000000E+007, +2.41476888436E+001, +0.00000000000E+000
+2.05250000000E+007, +2.41449505515E+001, +0.00000000000E+000
+2.06375000000E+007, +2.41461374747E+001, +0.00000000000E+000
+2.07500000000E+007, +2.41449820254E+001, +0.00000000000E+000
+2.08625000000E+007, +2.41430248952E+001, +0.00000000000E+000
+2.09750000000E+007, +2.41367660131E+001, +0.00000000000E+000
+2.10875000000E+007, +2.41322805532E+001, +0.00000000000E+000
+2.12000000000E+007, +2.41291564659E+001, +0.00000000000E+000
+2.13125000000E+007, +2.41230074097E+001, +0.00000000000E+000
+2.14250000000E+007, +2.41148173347E+001, +0.00000000000E+000
+2.15375000000E+007, +2.41123623516E+001, +0.00000000000E+000
+2.16500000000E+007, +2.41157542364E+001, +0.00000000000E+000
+2.17625000000E+007, +2.41256217882E+001, +0.00000000000E+000
+2.18750000000E+007, +2.41355381732E+001, +0.00000000000E+000
+2.19875000000E+007, +2.41393321821E+001, +0.00000000000E+000
+2.21000000000E+007, +2.41392545526E+001, +0.00000000000E+000
+2.22125000000E+007, +2.41332504456E+001, +0.00000000000E+000
+2.23250000000E+007, +2.41245683163E+001, +0.00000000000E+000
+2.24375000000E+007, +2.41122468865E+001, +0.00000000000E+000
+2.25500000000E+007, +2.40975615737E+001, +0.00000000000E+000
+2.26625000000E+007, +2.40803924306E+001, +0.00000000000E+000
+2.27750000000E+007, +2.40700359751E+001, +0.00000000000E+000
+2.28875000000E+007, +2.40693095443E+001, +0.00000000000E+000
+2.30000000000E+007, +2.40738923550E+001, +0.00000000000E+000
+2.31125000000E+007, +2.40770412477E+001, +0.00000000000E+000
+2.32250000000E+007, +2.40781411552E+001, +0.00000000000E+000
+2.33375000000E+007, +2.40805559006E+001, +0.00000000000E+000
+2.34500000000E+007, +2.40828468751E+001, +0.00000000000E+000
+2.35625000000E+007, +2.40826129923E+001, +0.00000000000E+000
+2.36750000000E+007, +2.40805680506E+001, +0.00000000000E+000
+2.37875000000E+007, +2.40759443645E+001, +0.00000000000E+000
+2.39000000000E+007, +2.40669811886E+001, +0.00000000000E+000
+2.40125000000E+007, +2.40623388393E+001, +0.00000000000E+000
+2.41250000000E+007, +2.40618663258E+001, +0.00000000000E+000
+2.42375000000E+007, +2.40596569973E+001, +0.00000000000E+000
+2.43500000000E+007, +2.40580378954E+001, +0.00000000000E+000
+2.44625000000E+007, +2.40558260591E+001, +0.00000000000E+000
+2.45750000000E+007, +2.40550347759E+001, +0.00000000000E+000
+2.46875000000E+007, +2.40568752725E+001, +0.00000000000E+000
+2.48000000000E+007, +2.40568844663E+001, +0.00000000000E+000
+2.49125000000E+007, +2.40539428613E+001, +0.00000000000E+000
+2.50250000000E+007, +2.40502164528E+001, +0.00000000000E+000
+2.51375000000E+007, +2.40434816605E+001, +0.00000000000E+000
+2.52500000000E+007, +2.40364274256E+001, +0.00000000000E+000
+2.53625000000E+007, +2.40337152070E+001, +0.00000000000E+000
+2.54750000000E+007, +2.40347838419E+001, +0.00000000000E+000
+2.55875000000E+007, +2.40313957873E+001, +0.00000000000E+000
+2.57000000000E+007, +2.40273740533E+001, +0.00000000000E+000
+2.58125000000E+007, +2.40254008718E+001, +0.00000000000E+000
+2.59250000000E+007, +2.40271795362E+001, +0.00000000000E+000
+2.60375000000E+007, +2.40244739928E+001, +0.00000000000E+000
+2.61500000000E+007, +2.40150209136E+001, +0.00000000000E+000
+2.62625000000E+007, +2.40068107227E+001, +0.00000000000E+000
+2.63750000000E+007, +2.40044261514E+001, +0.00000000000E+000
+2.64875000000E+007, +2.39997363549E+001, +0.00000000000E+000
+2.66000000000E+007, +2.39926925014E+001, +0.00000000000E+000
+2.67125000000E+007, +2.39855832756E+001, +0.00000000000E+000
+2.68250000000E+007, +2.39855269199E+001, +0.00000000000E+000
+2.69375000000E+007, +2.39912490894E+001, +0.00000000000E+000
+2.70500000000E+007, +2.39898199817E+001, +0.00000000000E+000
+2.71625000000E+007, +2.39820748943E+001, +0.00000000000E+000
+2.72750000000E+007, +2.39744747898E+001, +0.00000000000E+000
+2.73875000000E+007, +2.39693759761E+001, +0.00000000000E+000
+2.75000000000E+007, +2.39651849830E+001, +0.00000000000E+000
+2.76125000000E+007, +2.39635747124E+001, +0.00000000000E+000
+2.77250000000E+007, +2.39641432357E+001, +0.00000000000E+000
+2.78375000000E+007, +2.39667612531E+001, +0.00000000000E+000
+2.79500000000E+007, +2.39746117558E+001, +0.00000000000E+000
+2.80625000000E+007, +2.39822240749E+001, +0.00000000000E+000
+2.81750000000E+007, +2.39863394047E+001, +0.00000000000E+000
+2.82875000000E+007, +2.39907092785E+001, +0.00000000000E+000
+2.84000000000E+007, +2.39889773861E+001, +0.00000000000E+000
+2.85125000000E+007, +2.39796760266E+001, +0.00000000000E+000
+2.86250000000E+007, +2.39670516823E+001, +0.00000000000E+000
+2.87375000000E+007, +2.39601665479E+001, +0.00000000000E+000
+2.88500000000E+007, +2.39615140184E+001, +0.00000000000E+000
+2.89625000000E+007, +2.39641436673E+001, +0.00000000000E+000
+2.90750000000E+007, +2.39592033122E+001, +0.00000000000E+000
+2.91875000000E+007, +2.39545533564E+001, +0.00000000000E+000
+2.93000000000E+007, +2.39506386692E+001, +0.00000000000E+000
+2.94125000000E+007, +2.39524031029E+001, +0.00000000000E+000
+2.95250000000E+007, +2.39449967699E+001, +0.00000000000E+000
+2.96375000000E+007, +2.39267562115E+001, +0.00000000000E+000
+2.97500000000E+007, +2.39082871208E+001, +0.00000000000E+000
+2.98625000000E+007, +2.38933884987E+001, +0.00000000000E+000
+2.99750000000E+007, +2.38810438742E+001, +0.00000000000E+000
+3.00875000000E+007, +2.38771739138E+001, +0.00000000000E+000
+3.02000000000E+007, +2.38706108418E+001, +0.00000000000E+000
+3.03125000000E+007, +2.38644012423E+001, +0.00000000000E+000
+3.04250000000E+007, +2.38609113269E+001, +0.00000000000E+000
+3.05375000000E+007, +2.38615047215E+001, +0.00000000000E+000
+3.06500000000E+007, +2.38667575107E+001, +0.00000000000E+000
+3.07625000000E+007, +2.38675987844E+001, +0.00000000000E+000
+3.08750000000E+007, +2.38619101215E+001, +0.00000000000E+000
+3.09875000000E+007, +2.38617482668E+001, +0.00000000000E+000
+3.11000000000E+007, +2.38645611728E+001, +0.00000000000E+000
+3.12125000000E+007, +2.38665831750E+001, +0.00000000000E+000
+3.13250000000E+007, +2.38660069087E+001, +0.00000000000E+000
+3.14375000000E+007, +2.38610860274E+001, +0.00000000000E+000
+3.15500000000E+007, +2.38588524807E+001, +0.00000000000E+000
+3.16625000000E+007, +2.38595297276E+001, +0.00000000000E+000
+3.17750000000E+007, +2.38631992425E+001, +0.00000000000E+000
+3.18875000000E+007, +2.38653917684E+001, +0.00000000000E+000
+3.20000000000E+007, +2.38645085707E+001, +0.00000000000E+000
+3.21125000000E+007, +2.38617070677E+001, +0.00000000000E+000
+3.22250000000E+007, +2.38608500463E+001, +0.00000000000E+000
+3.23375000000E+007, +2.38622948877E+001, +0.00000000000E+000
+3.24500000000E+007, +2.38575315389E+001, +0.00000000000E+000
+3.25625000000E+007, +2.38426007912E+001, +0.00000000000E+000
+3.26750000000E+007, +2.38282587449E+001, +0.00000000000E+000
+3.27875000000E+007, +2.38211713105E+001, +0.00000000000E+000
+3.29000000000E+007, +2.38163173351E+001, +0.00000000000E+000
+3.30125000000E+007, +2.38108646623E+001, +0.00000000000E+000
+3.31250000000E+007, +2.38044046007E+001, +0.00000000000E+000
+3.32375000000E+007, +2.38032510844E+001, +0.00000000000E+000
+3.33500000000E+007, +2.38078637049E+001, +0.00000000000E+000
+3.34625000000E+007, +2.38080510440E+001, +0.00000000000E+000
+3.35750000000E+007, +2.38029934854E+001, +0.00000000000E+000
+3.36875000000E+007, +2.37973033576E+001, +0.00000000000E+000
+3.38000000000E+007, +2.37908890884E+001, +0.00000000000E+000
+3.39125000000E+007, +2.37822412603E+001, +0.00000000000E+000
+3.40250000000E+007, +2.37733041862E+001, +0.00000000000E+000
+3.41375000000E+007, +2.37638630376E+001, +0.00000000000E+000
+3.42500000000E+007, +2.37573052128E+001, +0.00000000000E+000
+3.43625000000E+007, +2.37520808129E+001, +0.00000000000E+000
+3.44750000000E+007, +2.37497864888E+001, +0.00000000000E+000
+3.45875000000E+007, +2.37496791585E+001, +0.00000000000E+000
+3.47000000000E+007, +2.37515228061E+001, +0.00000000000E+000
+3.48125000000E+007, +2.37554179431E+001, +0.00000000000E+000
+3.49250000000E+007, +2.37561507102E+001, +0.00000000000E+000
+3.50375000000E+007, +2.37508645020E+001, +0.00000000000E+000
+3.51500000000E+007, +2.37497041423E+001, +0.00000000000E+000
+3.52625000000E+007, +2.37466836695E+001, +0.00000000000E+000
+3.53750000000E+007, +2.37426145328E+001, +0.00000000000E+000
+3.54875000000E+007, +2.37394097835E+001, +0.00000000000E+000
+3.56000000000E+007, +2.37334821112E+001, +0.00000000000E+000
+3.57125000000E+007, +2.37221020695E+001, +0.00000000000E+000
+3.58250000000E+007, +2.37140227070E+001, +0.00000000000E+000
+3.59375000000E+007, +2.37079495257E+001, +0.00000000000E+000
+3.60500000000E+007, +2.37045201947E+001, +0.00000000000E+000
+3.61625000000E+007, +2.36982190428E+001, +0.00000000000E+000
+3.62750000000E+007, +2.36893625174E+001, +0.00000000000E+000
+3.63875000000E+007, +2.36785683935E+001, +0.00000000000E+000
+3.65000000000E+007, +2.36795804543E+001, +0.00000000000E+000
+3.66125000000E+007, +2.36835121581E+001, +0.00000000000E+000
+3.67250000000E+007, +2.36791891713E+001, +0.00000000000E+000
+3.68375000000E+007, +2.36731892641E+001, +0.00000000000E+000
+3.69500000000E+007, +2.36682243840E+001, +0.00000000000E+000
+3.70625000000E+007, +2.36634142064E+001, +0.00000000000E+000
+3.71750000000E+007, +2.36616077248E+001, +0.00000000000E+000
+3.72875000000E+007, +2.36584988630E+001, +0.00000000000E+000
+3.74000000000E+007, +2.36497123926E+001, +0.00000000000E+000
+3.75125000000E+007, +2.36363430897E+001, +0.00000000000E+000
+3.76250000000E+007, +2.36233355805E+001, +0.00000000000E+000
+3.77375000000E+007, +2.36142038320E+001, +0.00000000000E+000
+3.78500000000E+007, +2.36104609930E+001, +0.00000000000E+000
+3.79625000000E+007, +2.36090977315E+001, +0.00000000000E+000
+3.80750000000E+007, +2.36053985552E+001, +0.00000000000E+000
+3.81875000000E+007, +2.36090073499E+001, +0.00000000000E+000
+3.83000000000E+007, +2.36175813539E+001, +0.00000000000E+000
+3.84125000000E+007, +2.36249997580E+001, +0.00000000000E+000
+3.85250000000E+007, +2.36304414519E+001, +0.00000000000E+000
+3.86375000000E+007, +2.36261855936E+001, +0.00000000000E+000
+3.87500000000E+007, +2.36148519275E+001, +0.00000000000E+000
+3.88625000000E+007, +2.36053244509E+001, +0.00000000000E+000
+3.89750000000E+007, +2.35945128380E+001, +0.00000000000E+000
+3.90875000000E+007, +2.35866135497E+001, +0.00000000000E+000
+3.92000000000E+007, +2.35789927377E+001, +0.00000000000E+000
+3.93125000000E+007, +2.35687968859E+001, +0.00000000000E+000
+3.94250000000E+007, +2.35581658657E+001, +0.00000000000E+000
+3.95375000000E+007, +2.35504826687E+001, +0.00000000000E+000
+3.96500000000E+007, +2.35370240998E+001, +0.00000000000E+000
+3.97625000000E+007, +2.35218683886E+001, +0.00000000000E+000
+3.98750000000E+007, +2.35056774816E+001, +0.00000000000E+000
+3.99875000000E+007, +2.34897183221E+001, +0.00000000000E+000
+4.01000000000E+007, +2.34722514923E+001, +0.00000000000E+000
+4.02125000000E+007, +2.34584971441E+001, +0.00000000000E+000
+4.03250000000E+007, +2.34459126471E+001, +0.00000000000E+000
+4.04375000000E+007, +2.34379578676E+001, +0.00000000000E+000
+4.05500000000E+007, +2.34321197178E+001, +0.00000000000E+000
+4.06625000000E+007, +2.34303104008E+001, +0.00000000000E+000
+4.07750000000E+007, +2.34264356492E+001, +0.00000000000E+000
+4.08875000000E+007, +2.34273710434E+001, +0.00000000000E+000
+4.10000000000E+007, +2.34328942335E+001, +0.00000000000E+000
+4.11125000000E+007, +2.34346727694E+001, +0.00000000000E+000
+4.12250000000E+007, +2.34330641639E+001, +0.00000000000E+000
+4.13375000000E+007, +2.34307504925E+001, +0.00000000000E+000
+4.14500000000E+007, +2.34295294100E+001, +0.00000000000E+000
+4.15625000000E+007, +2.34263233827E+001, +0.00000000000E+000
+4.16750000000E+007, +2.34182634122E+001, +0.00000000000E+000
+4.17875000000E+007, +2.34055622510E+001, +0.00000000000E+000
+4.19000000000E+007, +2.33921957685E+001, +0.00000000000E+000
+4.20125000000E+007, +2.33794533325E+001, +0.00000000000E+000
+4.21250000000E+007, +2.33672195629E+001, +0.00000000000E+000
+4.22375000000E+007, +2.33540557108E+001, +0.00000000000E+000
+4.23500000000E+007, +2.33406019999E+001, +0.00000000000E+000
+4.24625000000E+007, +2.33283605312E+001, +0.00000000000E+000
+4.25750000000E+007, +2.33190080529E+001, +0.00000000000E+000
+4.26875000000E+007, +2.33133706963E+001, +0.00000000000E+000
+4.28000000000E+007, +2.33062356323E+001, +0.00000000000E+000
+4.29125000000E+007, +2.32944235792E+001, +0.00000000000E+000
+4.30250000000E+007, +2.32774466560E+001, +0.00000000000E+000
+4.31375000000E+007, +2.32619594352E+001, +0.00000000000E+000
+4.32500000000E+007, +2.32500449494E+001, +0.00000000000E+000
+4.33625000000E+007, +2.32383142222E+001, +0.00000000000E+000
+4.34750000000E+007, +2.32260348505E+001, +0.00000000000E+000
+4.35875000000E+007, +2.32156727106E+001, +0.00000000000E+000
+4.37000000000E+007, +2.32093775182E+001, +0.00000000000E+000
+4.38125000000E+007, +2.32003619595E+001, +0.00000000000E+000
+4.39250000000E+007, +2.31882689877E+001, +0.00000000000E+000
+4.40375000000E+007, +2.31717395033E+001, +0.00000000000E+000
+4.41500000000E+007, +2.31535821714E+001, +0.00000000000E+000
+4.42625000000E+007, +2.31338291263E+001, +0.00000000000E+000
+4.43750000000E+007, +2.31124348758E+001, +0.00000000000E+000
+4.44875000000E+007, +2.30864533047E+001, +0.00000000000E+000
+4.46000000000E+007, +2.30632949014E+001, +0.00000000000E+000
+4.47125000000E+007, +2.30453896883E+001, +0.00000000000E+000
+4.48250000000E+007, +2.30251921526E+001, +0.00000000000E+000
+4.49375000000E+007, +2.30019796068E+001, +0.00000000000E+000
+4.50500000000E+007, +2.29778488261E+001, +0.00000000000E+000
